Position,Name,Name + ID,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
QB,Kedon Slovis,Kedon Slovis (300000),300000,CPT,12600,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Kedon Slovis,dk,12600,kedon slovis,ARI,QB,showdown,00-0039577,auto_exact,high
QB,Kedon Slovis,Kedon Slovis (300001),300001,FLEX,8400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Kedon Slovis,dk,8400,kedon slovis,ARI,QB,showdown,00-0039577,auto_exact,high
QB,Kyler Murray,Kyler Murray (300002),300002,CPT,7800,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Kyler Murray,dk,7800,kyler murray,ARI,QB,showdown,00-0035228,auto_exact,high
QB,Kyler Murray,Kyler Murray (300003),300003,FLEX,5200,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Kyler Murray,dk,5200,kyler murray,ARI,QB,showdown,00-0035228,auto_exact,high
QB,Jacoby Brissett,Jacoby Brissett (300004),300004,CPT,12000,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Jacoby Brissett,dk,12000,jacoby brissett,ARI,QB,showdown,00-0033119,auto_exact,high
QB,Jacoby Brissett,Jacoby Brissett (300005),300005,FLEX,8000,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Jacoby Brissett,dk,8000,jacoby brissett,ARI,QB,showdown,00-0033119,auto_exact,high
RB,Michael Carter,Michael Carter (300006),300006,CPT,8600,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Michael Carter,dk,8600,michael carter,ARI,RB,showdown,00-0036924,auto_exact,high
RB,Michael Carter,Michael Carter (300007),300007,FLEX,5700,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Michael Carter,dk,5700,michael carter,ARI,RB,showdown,00-0036924,auto_exact,high
RB,James Conner,James Conner (300008),300008,CPT,9800,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,James Conner,dk,9800,james conner,ARI,RB,showdown,00-0033553,auto_exact,high
RB,James Conner,James Conner (300009),300009,FLEX,6500,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,James Conner,dk,6500,james conner,ARI,RB,showdown,00-0033553,auto_exact,high
RB,Bam Knight,Bam Knight (300010),300010,CPT,10000,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Bam Knight,dk,10000,bam knight,ARI,RB,showdown,00-0037157,auto_exact,high
RB,Bam Knight,Bam Knight (300011),300011,FLEX,6700,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Bam Knight,dk,6700,bam knight,ARI,RB,showdown,00-0037157,auto_exact,high
RB,Corey Kiner,Corey Kiner (300012),300012,CPT,9900,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Corey Kiner,dk,9900,corey kiner,ARI,RB,showdown,00-0040556,auto_exact,high
RB,Corey Kiner,Corey Kiner (300013),300013,FLEX,6600,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Corey Kiner,dk,6600,corey kiner,ARI,RB,showdown,00-0040556,auto_exact,high
RB,Trey Benson,Trey Benson (300014),300014,CPT,11100,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Trey Benson,dk,11100,trey benson,ARI,RB,showdown,00-0039921,auto_exact,high
RB,Trey Benson,Trey Benson (300015),300015,FLEX,7400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Trey Benson,dk,7400,trey benson,ARI,RB,showdown,00-0039921,auto_exact,high
RB,Emari Demercado,Emari Demercado (300016),300016,CPT,5600,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Emari Demercado,dk,5600,emari demercado,ARI,RB,showdown,00-0038705,auto_exact,high
RB,Emari Demercado,Emari Demercado (300017),300017,FLEX,3700,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Emari Demercado,dk,3700,emari demercado,ARI,RB,showdown,00-0038705,auto_exact,high
WR,Simi Fehoko,Simi Fehoko (300018),300018,CPT,7800,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Simi Fehoko,dk,7800,simi fehoko,ARI,WR,showdown,00-0036646,auto_exact,high
WR,Simi Fehoko,Simi Fehoko (300019),300019,FLEX,5200,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Simi Fehoko,dk,5200,simi fehoko,ARI,WR,showdown,00-0036646,auto_exact,high
WR,Marvin Harrison Jr.,Marvin Harrison Jr. (300020),300020,CPT,9400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Marvin Harrison Jr.,dk,9400,marvin harrison,ARI,WR,showdown,00-0039849,auto_exact,high
WR,Marvin Harrison Jr.,Marvin Harrison Jr. (300021),300021,FLEX,6300,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Marvin Harrison Jr.,dk,6300,marvin harrison,ARI,WR,showdown,00-0039849,auto_exact,high
WR,Xavier Weaver,Xavier Weaver (300022),300022,CPT,5100,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Xavier Weaver,dk,5100,xavier weaver,ARI,WR,showdown,00-0039521,auto_exact,high
WR,Xavier Weaver,Xavier Weaver (300023),300023,FLEX,3400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Xavier Weaver,dk,3400,xavier weaver,ARI,WR,showdown,00-0039521,auto_exact,high
WR,Zay Jones,Zay Jones (300024),300024,CPT,5100,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Zay Jones,dk,5100,zay jones,ARI,WR,showdown,00-0033891,auto_exact,high
WR,Zay Jones,Zay Jones (300025),300025,FLEX,3400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Zay Jones,dk,3400,zay jones,ARI,WR,showdown,00-0033891,auto_exact,high
WR,Steven Sims,Steven Sims (300026),300026,CPT,6300,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Steven Sims,dk,6300,steven sims,ARI,WR,showdown,00-0034928,auto_exact,high
WR,Steven Sims,Steven Sims (300027),300027,FLEX,4200,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Steven Sims,dk,4200,steven sims,ARI,WR,showdown,00-0034928,auto_exact,high
WR,Michael Wilson,Michael Wilson (300028),300028,CPT,10600,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Michael Wilson,dk,10600,michael wilson,ARI,WR,showdown,00-0038559,auto_exact,high
WR,Michael Wilson,Michael Wilson (300029),300029,FLEX,7100,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,FLEX,Michael Wilson,dk,7100,michael wilson,ARI,WR,showdown,00-0038559,auto_exact,high
WR,Trent Sherfield,Trent Sherfield (300030),300030,CPT,8400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,,CPT,Trent Sherfield,dk,8400,trent sherfield,ARI,WR,showdown,00-0034487,auto_exact,high
