lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.32762772608869,2.66,TB,43727235,8.0527,statline_mc+recal_10_4b,team:CIN
1,DST,DST_TEN,Titans,DST,TEN,3100,10.167140817000002,3.28,NYJ,43728531,6.1017,dst_simulated_session_10_4+recal_10_4b,team:CIN
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.508353249106463,2.81,NO,43727325,10.0741,statline_mc+recal_10_4b,team:CIN
1,RB2,00-0039361,Bucky Irving,RB,TB,5700,13.03960580970242,2.29,CIN,43727359,8.6232,statline_mc+recal_10_4b,team:CIN
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,21.19463554068934,2.83,NO,43727633,10.1,statline_mc+recal_10_4b,team:CIN
1,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.751104609793323,2.02,TB,43727631,9.1961,statline_mc+recal_10_4b,team:CIN
1,WR3,00-0037614,John Metchie III,WR,CAR,3200,6.5280875081863465,2.04,CHI,43727819,6.8879,statline_mc+recal_10_4b,team:CIN
1,TE,00-0036970,Kyle Pitts Sr.,TE,ATL,4700,11.874929610623902,2.53,PIT,43728223,7.1482,statline_mc+recal_10_4b,team:CIN
1,FLEX,00-0039451,Isaiah Williams,WR,NYJ,3000,5.586845185523535,1.86,TEN,43728063,6.4599,statline_mc+recal_10_4b,team:CIN
2,QB,00-0040743,Tyler Shough,QB,NO,5600,15.699937095197484,2.8,DET,43727245,7.893,statline_mc+recal_10_4b,team:NO
2,DST,DST_TEN,Titans,DST,TEN,3100,10.167140817000002,3.28,NYJ,43728531,6.1017,dst_simulated_session_10_4+recal_10_4b,team:NO
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.508353249106463,2.81,NO,43727325,10.0741,statline_mc+recal_10_4b,team:NO
2,RB2,00-0039361,Bucky Irving,RB,TB,5700,13.03960580970242,2.29,CIN,43727359,8.6232,statline_mc+recal_10_4b,team:NO
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,21.19463554068934,2.83,NO,43727633,10.1,statline_mc+recal_10_4b,team:NO
2,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.751104609793323,2.02,TB,43727631,9.1961,statline_mc+recal_10_4b,team:NO
2,WR3,00-0038563,Tre Tucker,WR,LV,4000,7.883699369370025,1.97,MIA,43727735,7.2515,statline_mc+recal_10_4b,team:NO
2,TE,00-0040126,Colston Loveland,TE,CHI,5300,13.388144840188852,2.53,CAR,43728219,7.5296,statline_mc+recal_10_4b,team:NO
2,FLEX,00-0037231,Kevin Austin Jr.,WR,NO,3000,5.147206011796531,1.72,DET,43728055,6.3398,statline_mc+recal_10_4b,team:NO
3,QB,00-0040743,Tyler Shough,QB,NO,5600,15.699937095197484,2.8,DET,43727245,7.893,statline_mc+recal_10_4b,team:NO
3,DST,DST_TEN,Titans,DST,TEN,3100,10.167140817000002,3.28,NYJ,43728531,6.1017,dst_simulated_session_10_4+recal_10_4b,team:NO
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.508353249106463,2.81,NO,43727325,10.0741,statline_mc+recal_10_4b,team:NO
3,RB2,00-0038542,Bijan Robinson,RB,ATL,7700,15.665979041256914,2.03,PIT,43727327,8.7123,statline_mc+recal_10_4b,team:NO
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,21.19463554068934,2.83,NO,43727633,10.1,statline_mc+recal_10_4b,team:NO
3,WR2,00-0038563,Tre Tucker,WR,LV,4000,7.883699369370025,1.97,MIA,43727735,7.2515,statline_mc+recal_10_4b,team:NO
3,WR3,00-0037231,Kevin Austin Jr.,WR,NO,3000,5.147206011796531,1.72,DET,43728055,6.3398,statline_mc+recal_10_4b,team:NO
3,TE,00-0040126,Colston Loveland,TE,CHI,5300,13.388144840188852,2.53,CAR,43728219,7.5296,statline_mc+recal_10_4b,team:NO
3,FLEX,00-0039361,Bucky Irving,RB,TB,5700,13.03960580970242,2.29,CIN,43727359,8.6232,statline_mc+recal_10_4b,team:NO
4,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.32762772608869,2.66,TB,43727235,8.0527,statline_mc+recal_10_4b,team:CIN
4,DST,DST_TEN,Titans,DST,TEN,3100,10.167140817000002,3.28,NYJ,43728531,6.1017,dst_simulated_session_10_4+recal_10_4b,team:CIN
4,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.508353249106463,2.81,NO,43727325,10.0741,statline_mc+recal_10_4b,team:CIN
4,RB2,00-0039361,Bucky Irving,RB,TB,5700,13.03960580970242,2.29,CIN,43727359,8.6232,statline_mc+recal_10_4b,team:CIN
4,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,21.19463554068934,2.83,NO,43727633,10.1,statline_mc+recal_10_4b,team:CIN
4,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.751104609793323,2.02,TB,43727631,9.1961,statline_mc+recal_10_4b,team:CIN
4,WR3,00-0037614,John Metchie III,WR,CAR,3200,6.5280875081863465,2.04,CHI,43727819,6.8879,statline_mc+recal_10_4b,team:CIN
4,TE,00-0036970,Kyle Pitts Sr.,TE,ATL,4700,11.874929610623902,2.53,PIT,43728223,7.1482,statline_mc+recal_10_4b,team:CIN
4,FLEX,00-0037231,Kevin Austin Jr.,WR,NO,3000,5.147206011796531,1.72,DET,43728055,6.3398,statline_mc+recal_10_4b,team:CIN
5,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.32762772608869,2.66,TB,43727235,8.0527,statline_mc+recal_10_4b,team:CIN
5,DST,DST_NYJ,Jets,DST,NYJ,2500,8.207691624,3.28,TEN,43728542,5.9217,dst_simulated_session_10_4+recal_10_4b,team:CIN
5,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.508353249106463,2.81,NO,43727325,10.0741,statline_mc+recal_10_4b,team:CIN
5,RB2,00-0039361,Bucky Irving,RB,TB,5700,13.03960580970242,2.29,CIN,43727359,8.6232,statline_mc+recal_10_4b,team:CIN
5,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,21.19463554068934,2.83,NO,43727633,10.1,statline_mc+recal_10_4b,team:CIN
5,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.751104609793323,2.02,TB,43727631,9.1961,statline_mc+recal_10_4b,team:CIN
5,WR3,00-0037614,John Metchie III,WR,CAR,3200,6.5280875081863465,2.04,CHI,43727819,6.8879,statline_mc+recal_10_4b,team:CIN
5,TE,00-0040126,Colston Loveland,TE,CHI,5300,13.388144840188852,2.53,CAR,43728219,7.5296,statline_mc+recal_10_4b,team:CIN
5,FLEX,00-0039451,Isaiah Williams,WR,NYJ,3000,5.586845185523535,1.86,TEN,43728063,6.4599,statline_mc+recal_10_4b,team:CIN
6,QB,00-0040743,Tyler Shough,QB,NO,5600,15.699937095197484,2.8,DET,43727245,7.893,statline_mc+recal_10_4b,team:NO
6,DST,DST_TEN,Titans,DST,TEN,3100,10.167140817000002,3.28,NYJ,43728531,6.1017,dst_simulated_session_10_4+recal_10_4b,team:NO
