Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Cameron Whitfield (90000115),Cameron Whitfield,90000115,WR/FLEX,9800,DET@GB 07/24/2026 01:00PM ET,DET,24.53
RB,Brandon Pace (90000076),Brandon Pace,90000076,RB/FLEX,9100,CIN@BAL 07/24/2026 01:00PM ET,BAL,21.24
QB,Jared Estrada (90000062),Jared Estrada,90000062,QB,8900,SF@MIA 07/24/2026 01:00PM ET,SF,21.48
RB,Reggie Marshall (90000004),Reggie Marshall,90000004,RB/FLEX,8600,KC@BUF 07/24/2026 01:00PM ET,BUF,19.15
RB,Jared Castillo (90000064),Jared Castillo,90000064,RB/FLEX,8600,SF@MIA 07/24/2026 01:00PM ET,SF,19.91
QB,Julian Marshall (90000014),Julian Marshall,90000014,QB,8600,KC@BUF 07/24/2026 01:00PM ET,KC,23.39
WR,Cameron Pace (90000223),Cameron Pace,90000223,WR/FLEX,8600,ATL@NO 07/24/2026 08:20PM ET,NO,26.05
TE,Kendall Whitfield (90000071),Kendall Whitfield,90000071,TE/FLEX,8500,SF@MIA 07/24/2026 01:00PM ET,SF,17.08
QB,Trevor Hargrove (90000230),Trevor Hargrove,90000230,QB,8500,ATL@NO 07/24/2026 08:20PM ET,ATL,18.09
RB,Deshawn Fontaine (90000232),Deshawn Fontaine,90000232,RB/FLEX,8500,ATL@NO 07/24/2026 08:20PM ET,ATL,21.1
WR,Nate Monroe (90000103),Nate Monroe,90000103,WR/FLEX,8300,DET@GB 07/24/2026 01:00PM ET,GB,21.63
QB,Grant Coleman (90000218),Grant Coleman,90000218,QB,8300,ATL@NO 07/24/2026 08:20PM ET,NO,21.61
QB,Antonio Monroe (90000074),Antonio Monroe,90000074,QB,8300,CIN@BAL 07/24/2026 01:00PM ET,BAL,18.56
RB,Chris Pace (90000088),Chris Pace,90000088,RB/FLEX,8200,CIN@BAL 07/24/2026 01:00PM ET,CIN,23.1
QB,Corey Denning (90000122),Corey Denning,90000122,QB,8100,LAR@SEA 07/24/2026 04:05PM ET,SEA,20.68
