Position,Name,Name + ID,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
QB,Kedon Slovis,Kedon Slovis (300000),300000,CPT,12600,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
QB,Kedon Slovis,Kedon Slovis (300001),300001,FLEX,8400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
QB,Kyler Murray,Kyler Murray (300002),300002,CPT,7800,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
QB,Kyler Murray,Kyler Murray (300003),300003,FLEX,5200,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
QB,Jacoby Brissett,Jacoby Brissett (300004),300004,CPT,12000,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
QB,Jacoby Brissett,Jacoby Brissett (300005),300005,FLEX,8000,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Michael Carter,Michael Carter (300006),300006,CPT,8600,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Michael Carter,Michael Carter (300007),300007,FLEX,5700,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,James Conner,James Conner (300008),300008,CPT,9800,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,James Conner,James Conner (300009),300009,FLEX,6500,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Bam Knight,Bam Knight (300010),300010,CPT,10000,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Bam Knight,Bam Knight (300011),300011,FLEX,6700,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Corey Kiner,Corey Kiner (300012),300012,CPT,9900,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Corey Kiner,Corey Kiner (300013),300013,FLEX,6600,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Trey Benson,Trey Benson (300014),300014,CPT,11100,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Trey Benson,Trey Benson (300015),300015,FLEX,7400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Emari Demercado,Emari Demercado (300016),300016,CPT,5600,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
RB,Emari Demercado,Emari Demercado (300017),300017,FLEX,3700,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
WR,Simi Fehoko,Simi Fehoko (300018),300018,CPT,7800,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
WR,Simi Fehoko,Simi Fehoko (300019),300019,FLEX,5200,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
WR,Marvin Harrison Jr.,Marvin Harrison Jr. (300020),300020,CPT,9400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
WR,Marvin Harrison Jr.,Marvin Harrison Jr. (300021),300021,FLEX,6300,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
WR,Xavier Weaver,Xavier Weaver (300022),300022,CPT,5100,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
WR,Xavier Weaver,Xavier Weaver (300023),300023,FLEX,3400,SYNTHETIC ARI@CAR 08/06/2026 07:13AM ET,ARI,0.0,
