team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ATL,pass,1.0,exclusive,18.12,30.5,1.6829,12.38
CLE,pass,1.0,exclusive,18.05,30.01,1.6627,11.96
MIN,pass,1.0,exclusive,19.61,32.11,1.6372,12.5
NYJ,pass,1.0,exclusive,21.52,31.31,1.4552,9.79
LV,pass,1.0,exclusive,24.5,32.84,1.3405,8.34
TEN,pass,1.0,exclusive,25.14,32.41,1.2894,7.27
NYJ,rush,0.9744,recent,39.32,29.46,0.7491,9.87
SEA,pass,1.0,exclusive,39.67,30.39,0.766,9.28
LV,rush,0.973,recent,37.23,28.56,0.7671,8.67
ARI,pass,1.0,exclusive,27.82,34.2,1.2295,6.38
NO,recv,1.0,recent,51.39,39.7,0.7727,11.68
CHI,rush,1.0,recent,37.5,29.33,0.7822,8.17
ARI,rush,1.0,recent,36.49,28.97,0.794,7.52
HOU,rush,1.0,recent,33.91,27.45,0.8094,6.46
MIN,rush,1.0,recent,33.02,26.88,0.8141,6.14
NE,rush,1.0,recent,36.1,29.57,0.819,6.53
WAS,rush,1.0,recent,33.69,27.98,0.8305,5.71
SF,recv,0.9706,recent,39.41,32.77,0.8316,6.64
PIT,recv,1.0,recent,40.72,33.86,0.8316,6.86
LV,recv,1.0,recent,38.16,31.75,0.8319,6.41
GB,recv,1.0,recent,42.64,35.54,0.8335,7.1
BAL,rush,1.0,recent,37.46,31.26,0.8345,6.2
ATL,rush,1.0,recent,34.89,29.17,0.8361,5.72
ARI,recv,1.0,recent,40.32,33.72,0.8363,6.6
NO,rush,1.0,recent,28.54,24.04,0.8423,4.5
JAX,pass,1.0,exclusive,27.06,31.28,1.156,4.22
HOU,recv,1.0,recent,41.21,34.83,0.8452,6.38
JAX,rush,0.9688,recent,33.11,28.1,0.8485,5.02
SF,rush,1.0,recent,36.12,30.87,0.8546,5.25
MIA,pass,1.0,exclusive,28.56,32.37,1.1336,3.82
CIN,rush,1.0,recent,29.45,25.6,0.8695,3.84
LAC,rush,1.0,full_season,29.09,25.38,0.8727,3.7
NE,recv,1.0,recent,36.48,31.95,0.8757,4.54
TEN,recv,1.0,recent,34.8,30.47,0.8758,4.32
CAR,recv,1.0,recent,37.74,33.38,0.8847,4.35
GB,rush,1.0,full_season,27.39,24.25,0.8854,3.14
CIN,recv,1.0,recent,38.15,33.85,0.8875,4.29
BAL,pass,1.0,exclusive,28.7,31.88,1.1109,3.18
MIA,recv,1.0,recent,35.3,31.45,0.8908,3.86
DEN,pass,1.0,exclusive,29.71,32.72,1.1013,3.01
TB,recv,1.0,recent,34.03,30.66,0.9008,3.38
MIA,rush,1.0,full_season,25.38,22.88,0.9015,2.5
PIT,rush,1.0,full_season,26.95,24.35,0.9035,2.6
LAC,recv,1.0,recent,34.43,31.13,0.9042,3.3
NO,pass,1.0,exclusive,45.15,40.97,0.9075,4.18
PHI,pass,1.0,exclusive,27.78,30.31,1.0912,2.53
SEA,rush,1.0,full_season,28.54,25.94,0.9089,2.6
CLE,rush,1.0,full_season,27.25,24.79,0.9099,2.46
TB,pass,1.0,exclusive,29.13,31.69,1.088,2.56
LAC,pass,1.0,exclusive,29.35,31.92,1.0875,2.57
WAS,recv,1.0,recent,36.43,33.52,0.9201,2.91
CAR,rush,1.0,full_season,27.52,25.4,0.9228,2.13
SEA,recv,1.0,full_season,32.0,29.53,0.923,2.46
PHI,rush,1.0,recent,32.06,29.68,0.9256,2.38
CHI,pass,1.0,exclusive,31.26,33.53,1.0724,2.26
DEN,recv,1.0,recent,33.83,31.58,0.9336,2.25
DAL,recv,1.0,recent,36.15,33.85,0.9365,2.29
JAX,recv,0.9524,full_season,29.98,28.22,0.9412,1.76
CHI,recv,1.0,recent,33.4,31.75,0.9508,1.64
MIN,recv,1.0,full_season,32.22,30.77,0.9548,1.46
PHI,recv,1.0,full_season,29.87,28.56,0.9559,1.32
GB,pass,1.0,exclusive,38.03,36.52,0.9604,1.51
WAS,pass,1.0,exclusive,34.52,35.88,1.0395,1.36
DAL,pass,1.0,exclusive,34.58,35.85,1.0366,1.27
BAL,recv,1.0,full_season,29.69,30.68,1.0334,0.99
CLE,recv,1.0,full_season,29.88,29.0,0.9706,0.88
CAR,pass,1.0,exclusive,34.31,35.14,1.0241,0.83
SF,pass,1.0,exclusive,33.56,34.31,1.0224,0.75
NE,pass,1.0,exclusive,32.48,33.16,1.021,0.68
NYJ,recv,1.0,full_season,30.64,30.03,0.9802,0.61
DAL,rush,1.0,full_season,24.63,24.25,0.9846,0.38
HOU,pass,1.0,exclusive,35.12,35.65,1.0151,0.53
CIN,pass,1.0,exclusive,34.4,34.79,1.0112,0.39
TEN,rush,1.0,full_season,24.17,23.92,0.9896,0.25
ATL,recv,1.0,full_season,28.68,28.52,0.9944,0.16
TB,rush,1.0,full_season,27.39,27.47,1.0031,0.08
DEN,rush,1.0,full_season,23.64,23.61,0.9987,0.03
PIT,pass,1.0,exclusive,35.49,35.53,1.0011,0.04
