espn_id,player_name,espn_position,team,status,raw_status,last_updated,normalized_name,normalized_team,match_method
4242433,Joshua Palmer,WR,BUF,ACTIVE,,,joshua palmer,BUF,
3914397,Scotty Miller,WR,CHI,ACTIVE,,,scotty miller,CHI,
3116136,Justin Jackson,RB,DET,ACTIVE,,,justin jackson,DET,
4722908,Drew Ogletree,TE,IND,ACTIVE,,,drew ogletree,IND,
4036275,Sean McKeon,TE,IND,QUESTIONABLE,Questionable,2026-09-08T20:42Z,sean mckeon,IND,
4605841,Nathan Carter,RB,KC,ACTIVE,,,nathan carter,KC,
4691889,Greg Desrosiers Jr.,RB,LAC,ACTIVE,,,greg desrosiers,LAC,
3115328,Jalen Hurd,WR,NE,ACTIVE,,,jalen hurd,NE,
4569682,Audric Estime,RB,NO,OUT,Injured Reserve,2026-09-12T18:18Z,audric estime,NO,
4599158,Al-Jay Henderson,RB,NYJ,ACTIVE,,,al jay henderson,NYJ,
4241372,Hollywood Brown,WR,PHI,ACTIVE,,,hollywood brown,PHI,
4360438,Brandon Aiyuk,WR,SF,OUT,Out,2026-07-25T18:38Z,brandon aiyuk,SF,
3929636,Irv Charles,WR,SEA,OUT,Injured Reserve,2026-08-31T21:39Z,irv charles,SEA,
