team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
NYJ,rush,0.9744,recent,39.36,29.5,0.7496,9.86
MIN,rush,1.0,recent,35.36,27.0,0.7635,8.37
LV,rush,0.973,recent,37.23,28.56,0.7671,8.67
NO,recv,1.0,recent,51.28,39.57,0.7716,11.71
NO,pass,1.0,exclusive,52.22,40.83,0.7819,11.39
CHI,rush,1.0,recent,37.58,29.45,0.7835,8.14
ARI,rush,1.0,recent,36.48,28.96,0.7939,7.52
SEA,pass,1.0,exclusive,38.06,30.4,0.7987,7.66
HOU,rush,1.0,recent,33.94,27.47,0.8094,6.47
NE,rush,1.0,recent,36.02,29.47,0.8181,6.55
PIT,pass,1.0,exclusive,43.3,35.49,0.8195,7.81
MIN,pass,1.0,exclusive,38.8,31.87,0.8212,6.94
HOU,recv,1.0,recent,42.34,34.83,0.8227,7.51
ATL,pass,1.0,exclusive,37.0,30.5,0.8241,6.51
WAS,rush,1.0,recent,33.68,27.97,0.8303,5.71
PIT,recv,1.0,recent,40.69,33.83,0.8313,6.86
SF,recv,0.9706,recent,39.41,32.77,0.8316,6.64
GB,recv,1.0,recent,42.6,35.49,0.8331,7.11
ARI,pass,1.0,exclusive,40.99,34.22,0.8348,6.77
BAL,rush,1.0,recent,37.52,31.33,0.835,6.19
ATL,rush,1.0,recent,34.89,29.18,0.8362,5.72
ARI,recv,1.0,recent,40.33,33.73,0.8364,6.6
HOU,pass,1.0,exclusive,42.56,35.64,0.8375,6.91
GB,pass,1.0,exclusive,43.29,36.47,0.8424,6.82
NO,rush,1.0,recent,28.59,24.11,0.8432,4.48
LV,pass,1.0,exclusive,38.76,32.84,0.8472,5.93
JAX,rush,0.9688,recent,33.14,28.13,0.8489,5.01
CIN,pass,1.0,exclusive,40.73,34.79,0.8544,5.93
SF,rush,1.0,recent,36.12,30.87,0.8546,5.25
TEN,pass,1.0,exclusive,37.59,32.39,0.8616,5.2
LV,recv,1.0,recent,36.81,31.75,0.8624,5.07
CLE,pass,1.0,exclusive,34.6,29.98,0.8664,4.62
CIN,rush,1.0,recent,29.43,25.58,0.8692,3.85
LAC,rush,1.0,full_season,29.09,25.38,0.8727,3.7
NE,recv,1.0,recent,36.45,31.9,0.8752,4.55
WAS,pass,1.0,exclusive,40.99,35.88,0.8753,5.11
TEN,recv,1.0,recent,34.79,30.46,0.8756,4.33
CAR,recv,1.0,recent,37.74,33.38,0.8847,4.35
GB,rush,1.0,full_season,27.4,24.26,0.8855,3.14
CIN,recv,1.0,recent,38.15,33.85,0.8875,4.29
NE,pass,1.0,exclusive,37.25,33.12,0.889,4.14
SF,pass,1.0,exclusive,38.52,34.31,0.8908,4.21
MIA,recv,1.0,recent,35.3,31.45,0.8908,3.85
SEA,rush,1.0,full_season,29.02,25.94,0.8938,3.08
WAS,recv,1.0,recent,37.31,33.52,0.8983,3.79
CHI,pass,1.0,exclusive,36.99,33.29,0.8999,3.7
TB,recv,1.0,recent,34.01,30.63,0.9006,3.38
MIA,rush,1.0,full_season,25.39,22.89,0.9015,2.5
LAC,recv,1.0,recent,34.43,31.13,0.9042,3.3
DAL,pass,1.0,exclusive,39.62,35.85,0.9049,3.77
PIT,rush,1.0,full_season,27.06,24.49,0.905,2.57
CLE,rush,1.0,full_season,27.24,24.79,0.9098,2.46
CAR,pass,1.0,exclusive,38.57,35.14,0.9109,3.44
PHI,pass,1.0,exclusive,33.11,30.3,0.915,2.81
DEN,pass,1.0,exclusive,35.66,32.72,0.9176,2.94
CAR,rush,1.0,full_season,27.52,25.39,0.9227,2.13
SEA,recv,1.0,full_season,32.0,29.54,0.9231,2.46
TB,pass,1.0,exclusive,34.28,31.67,0.9239,2.61
PHI,rush,1.0,recent,32.05,29.66,0.9254,2.39
BAL,pass,1.0,exclusive,34.21,31.74,0.9277,2.47
NYJ,pass,1.0,exclusive,33.52,31.25,0.9323,2.27
DEN,recv,1.0,recent,33.83,31.58,0.9336,2.25
DAL,recv,1.0,recent,36.15,33.85,0.9366,2.29
MIA,pass,1.0,exclusive,34.48,32.38,0.939,2.1
LAC,pass,1.0,exclusive,33.99,31.92,0.9392,2.07
JAX,recv,0.9524,full_season,29.98,28.22,0.9412,1.76
CHI,recv,1.0,recent,33.23,31.53,0.9487,1.7
MIN,recv,1.0,full_season,32.05,30.54,0.9528,1.51
PHI,recv,1.0,full_season,29.86,28.54,0.9558,1.32
CLE,recv,1.0,full_season,29.86,28.98,0.9703,0.89
NYJ,recv,1.0,full_season,30.6,29.97,0.9797,0.62
DAL,rush,1.0,full_season,24.64,24.26,0.9848,0.37
TEN,rush,1.0,full_season,24.2,23.96,0.99,0.24
BAL,recv,1.0,full_season,30.35,30.54,1.0064,0.19
ATL,recv,1.0,full_season,28.68,28.52,0.9945,0.16
JAX,pass,1.0,exclusive,31.42,31.28,0.9957,0.14
TB,rush,1.0,full_season,27.41,27.5,1.0034,0.09
DEN,rush,1.0,full_season,23.62,23.58,0.9983,0.04
