team,opponent,commence_time,spread,over_under,implied_total
PIT,ATL,2026-09-13T17:00:00Z,-6.44,40.78,23.61
ATL,PIT,2026-09-13T17:00:00Z,6.44,40.78,17.17
IND,BAL,2026-09-13T17:00:00Z,2.94,48.17,22.61
BAL,IND,2026-09-13T17:00:00Z,-2.94,48.17,25.56
HOU,BUF,2026-09-13T17:00:00Z,1.11,44.5,21.69
BUF,HOU,2026-09-13T17:00:00Z,-1.11,44.5,22.81
CIN,TB,2026-09-13T17:00:00Z,-3.67,50.44,27.06
TB,CIN,2026-09-13T17:00:00Z,3.67,50.44,23.39
JAX,CLE,2026-09-13T17:00:00Z,-8.72,40.11,24.42
CLE,JAX,2026-09-13T17:00:00Z,8.72,40.11,15.69
DET,NO,2026-09-13T17:00:00Z,-6.94,49.83,28.39
NO,DET,2026-09-13T17:00:00Z,6.94,49.83,21.44
TEN,NYJ,2026-09-13T17:00:00Z,-0.89,39.22,20.06
NYJ,TEN,2026-09-13T17:00:00Z,0.89,39.22,19.17
CAR,CHI,2026-09-13T17:05:00Z,2.94,46.94,22.0
CHI,CAR,2026-09-13T17:05:00Z,-2.94,46.94,24.94
LAC,ARI,2026-09-13T20:25:00Z,-9.22,47.17,28.19
ARI,LAC,2026-09-13T20:25:00Z,9.22,47.17,18.97
MIN,GB,2026-09-13T20:25:00Z,-1.61,46.06,23.83
GB,MIN,2026-09-13T20:25:00Z,1.61,46.06,22.22
LV,MIA,2026-09-13T20:25:00Z,-3.0,40.39,21.69
MIA,LV,2026-09-13T20:25:00Z,3.0,40.39,18.69
PHI,WAS,2026-09-13T20:25:00Z,-5.89,44.17,25.03
WAS,PHI,2026-09-13T20:25:00Z,5.89,44.17,19.14
NYG,DAL,2026-09-14T00:20:00Z,3.0,47.5,22.25
DAL,NYG,2026-09-14T00:20:00Z,-3.0,47.5,25.25
KC,DEN,2026-09-15T00:15:00Z,-2.17,43.5,22.83
DEN,KC,2026-09-15T00:15:00Z,2.17,43.5,20.67
BUF,DET,2026-09-18T00:15:00Z,-3.25,52.25,27.75
DET,BUF,2026-09-18T00:15:00Z,3.25,52.25,24.5
ATL,CAR,2026-09-20T17:00:00Z,-1.5,42.75,22.12
CAR,ATL,2026-09-20T17:00:00Z,1.5,42.75,20.62
BAL,NO,2026-09-20T17:00:00Z,-7.75,46.5,27.12
NO,BAL,2026-09-20T17:00:00Z,7.75,46.5,19.38
CHI,MIN,2026-09-20T17:00:00Z,-3.0,45.88,24.44
MIN,CHI,2026-09-20T17:00:00Z,3.0,45.88,21.44
HOU,CIN,2026-09-20T17:00:00Z,-2.5,46.0,24.25
CIN,HOU,2026-09-20T17:00:00Z,2.5,46.0,21.75
TB,CLE,2026-09-20T17:00:00Z,-6.5,41.38,23.94
CLE,TB,2026-09-20T17:00:00Z,6.5,41.38,17.44
NYJ,GB,2026-09-20T17:00:00Z,5.5,42.5,18.5
GB,NYJ,2026-09-20T17:00:00Z,-5.5,42.5,24.0
NE,PIT,2026-09-20T17:00:00Z,-4.5,43.5,24.0
PIT,NE,2026-09-20T17:00:00Z,4.5,43.5,19.5
TEN,PHI,2026-09-20T17:00:00Z,5.5,42.25,18.38
