player_id,site_player_id,player_name,position,team,opponent,game_info,salary,implied_total,over_under,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,chalk_score,estimated_ownership_pct
90000062,90000062,Jared Estrada,QB,SF,MIA,SF@MIA 07/24/2026 01:00PM ET,9200,25.0,44.0,21.48,21.65,1.149,1.1173,27.68,90.94,17.37
90000115,90000115,Cameron Whitfield,WR,DET,GB,DET@GB 07/24/2026 01:00PM ET,8700,23.25,47.5,21.87,25.69,1.058,1.0391,26.14,85.78,23.49
90000076,90000076,Brandon Pace,RB,BAL,CIN,CIN@BAL 07/24/2026 01:00PM ET,8400,26.0,49.0,19.64,22.77,1.004,1.162,24.74,94.25,35.52
90000230,90000230,Trevor Hargrove,QB,ATL,NO,ATL@NO 07/24/2026 08:20PM ET,8500,25.75,46.0,18.09,19.98,1.112,1.1508,24.36,86.06,12.55
90000014,90000014,Julian Marshall,QB,KC,BUF,KC@BUF 07/24/2026 01:00PM ET,8500,23.0,48.5,23.39,21.59,1.038,1.0279,24.0,80.56,8.69
90000074,90000074,Antonio Monroe,QB,BAL,CIN,CIN@BAL 07/24/2026 01:00PM ET,8500,26.0,49.0,18.55,20.78,1.039,1.162,23.74,90.06,16.38
90000232,90000232,Deshawn Fontaine,RB,ATL,NO,ATL@NO 07/24/2026 08:20PM ET,8200,25.75,46.0,19.45,19.76,1.049,1.1508,23.67,86.58,21.3
90000218,90000218,Grant Coleman,QB,NO,ATL,ATL@NO 07/24/2026 08:20PM ET,8500,20.25,46.0,21.6,23.9,1.133,0.905,23.33,65.19,3.12
90000064,90000064,Jared Castillo,RB,SF,MIA,SF@MIA 07/24/2026 01:00PM ET,8100,25.0,44.0,17.81,19.41,1.088,1.1173,22.62,83.0,16.78
90000004,90000004,Reggie Marshall,RB,BUF,KC,KC@BUF 07/24/2026 01:00PM ET,8500,25.5,48.5,17.34,18.27,1.112,1.1397,22.57,88.33,23.94
90000079,90000079,Ryan Rivers,WR,BAL,CIN,CIN@BAL 07/24/2026 01:00PM ET,8300,26.0,49.0,20.69,17.58,0.999,1.162,22.21,93.72,39.88
90000038,90000038,Preston Manning,QB,PHI,DAL,PHI@DAL 07/24/2026 01:00PM ET,8300,24.5,45.5,18.33,18.72,1.089,1.095,22.09,76.56,6.66
90000172,90000172,Preston Nakamura,RB,PIT,JAX,JAX@PIT 07/24/2026 04:25PM ET,8300,21.5,40.0,22.94,20.41,1.041,0.9609,21.68,74.42,9.47
90000136,90000136,Dominic Rourke,RB,LAR,SEA,LAR@SEA 07/24/2026 04:05PM ET,7900,23.75,43.0,17.73,18.87,1.114,1.0615,21.64,78.0,12.02
90000088,90000088,Chris Pace,RB,CIN,BAL,CIN@BAL 07/24/2026 01:00PM ET,7900,23.0,49.0,20.93,20.76,1.004,1.0279,21.51,74.12,9.28
90000122,90000122,Corey Denning,QB,SEA,LAR,LAR@SEA 07/24/2026 04:05PM ET,8000,19.25,43.0,20.68,25.73,1.042,0.8603,20.8,58.69,2.02
90000071,90000071,Kendall Whitfield,TE,SF,MIA,SF@MIA 07/24/2026 01:00PM ET,8000,25.0,44.0,14.88,16.39,1.147,1.1173,20.04,90.94,23.94
90000223,90000223,Cameron Pace,WR,NO,ATL,ATL@NO 07/24/2026 08:20PM ET,7900,20.25,46.0,22.95,20.19,1.021,0.905,19.93,67.72,7.05
90000194,90000194,Cole Bishop,QB,DEN,LAC,LAC@DEN 07/24/2026 04:25PM ET,7800,20.5,42.5,19.15,18.94,1.14,0.9162,19.89,59.44,2.13
90000103,90000103,Nate Monroe,WR,GB,DET,DET@GB 07/24/2026 01:00PM ET,7900,24.25,47.5,17.81,15.37,1.099,1.0838,19.76,79.66,15.62
90000043,90000043,Chris Pruitt,WR,PHI,DAL,PHI@DAL 07/24/2026 01:00PM ET,7900,24.5,45.5,21.3,16.81,0.941,1.095,19.63,80.34,16.34
90000235,90000235,Chris Estrada,WR,ATL,NO,ATL@NO 07/24/2026 08:20PM ET,7700,25.75,46.0,20.56,17.51,0.889,1.1508,19.47,84.66,21.8
90000098,90000098,Emmanuel Whitfield,QB,GB,DET,DET@GB 07/24/2026 01:00PM ET,7500,24.25,47.5,19.51,17.53,0.961,1.0838,19.29,71.06,4.62
90000017,90000017,Tyler Brooks,RB,KC,BUF,KC@BUF 07/24/2026 01:00PM ET,7500,23.0,48.5,16.29,17.1,1.119,1.0279,19.2,71.21,7.65
90000031,90000031,Zach Ellison,WR,DAL,PHI,PHI@DAL 07/24/2026 01:00PM ET,7900,21.0,45.5,21.53,19.22,1.001,0.9385,19.14,67.41,6.9
90000067,90000067,Corey Okafor,WR,SF,MIA,SF@MIA 07/24/2026 01:00PM ET,7900,25.0,44.0,17.16,15.78,1.037,1.1173,19.08,79.34,15.29
90000019,90000019,Ryan Blackwell,WR,KC,BUF,KC@BUF 07/24/2026 01:00PM ET,8000,23.0,48.5,16.05,18.1,1.083,1.0279,19.01,76.66,12.79
90000176,90000176,Levi Halsey,WR,PIT,JAX,JAX@PIT 07/24/2026 04:25PM ET,7600,21.5,40.0,18.37,18.93,1.053,0.9609,18.87,68.16,7.26
90000002,90000002,Emmanuel Boykin,QB,BUF,KC,KC@BUF 07/24/2026 01:00PM ET,7800,25.5,48.5,18.08,16.64,0.94,1.1397,18.6,73.31,5.36
90000160,90000160,Cameron Pruitt,RB,MIN,HOU,MIN@HOU 07/24/2026 04:05PM ET,7200,19.75,41.5,19.83,17.66,1.111,0.8827,18.38,59.92,3.6
90000139,90000139,DeAndre Nakamura,WR,LAR,SEA,LAR@SEA 07/24/2026 04:05PM ET,7700,23.75,43.0,16.7,17.24,1.003,1.0615,18.07,72.22,9.51
90000199,90000199,Aaron Truman,WR,DEN,LAC,LAC@DEN 07/24/2026 04:25PM ET,7900,20.5,42.5,17.71,19.48,1.052,0.9162,17.92,62.78,5.07
90000104,90000104,Antonio Osei,WR,GB,DET,DET@GB 07/24/2026 01:00PM ET,7100,24.25,47.5,14.65,14.81,1.099,1.0838,17.54,75.47,11.81
90000028,90000028,Aaron Monroe,RB,DAL,PHI,PHI@DAL 07/24/2026 01:00PM ET,7100,21.0,45.5,17.58,19.91,0.984,0.9385,17.31,62.25,4.21
90000211,90000211,Tyler Delgado,WR,LAC,DEN,LAC@DEN 07/24/2026 04:25PM ET,7200,22.0,42.5,16.9,19.25,0.971,0.9832,17.26,68.16,7.26
90000112,90000112,Zach Pruitt,RB,DET,GB,DET@GB 07/24/2026 01:00PM ET,7300,23.25,47.5,17.36,19.01,0.908,1.0391,17.16,69.58,6.86
90000044,90000044,Malik Delgado,WR,PHI,DAL,PHI@DAL 07/24/2026 01:00PM ET,7700,24.5,45.5,17.82,15.47,0.941,1.095,17.15,71.91,9.32
90000077,90000077,Jordan Winslow,RB,BAL,CIN,CIN@BAL 07/24/2026 01:00PM ET,7500,26.0,49.0,12.76,16.32,1.004,1.162,16.96,75.83,10.4
90000148,90000148,Brandon Grant,RB,HOU,MIN,MIN@HOU 07/24/2026 04:05PM ET,7000,21.75,41.5,17.69,18.07,0.966,0.9721,16.79,63.67,4.63
90000175,90000175,Reggie Osei,WR,PIT,JAX,JAX@PIT 07/24/2026 04:25PM ET,7000,21.5,40.0,17.82,15.08,1.053,0.9609,16.64,63.47,5.31
90000208,90000208,Levi Osei,RB,LAC,DEN,LAC@DEN 07/24/2026 04:25PM ET,7200,22.0,42.5,18.31,17.99,0.922,0.9832,16.45,63.67,4.63
90000040,90000040,Devon Manning,RB,PHI,DAL,PHI@DAL 07/24/2026 01:00PM ET,7200,24.5,45.5,15.62,14.51,0.99,1.095,16.33,70.42,7.25
90000116,90000116,Levi Truman,WR,DET,GB,DET@GB 07/24/2026 01:00PM ET,7100,23.25,47.5,14.81,14.17,1.058,1.0391,15.93,68.47,7.41
90000023,90000023,Chris Fontaine,TE,KC,BUF,KC@BUF 07/24/2026 01:00PM ET,7100,23.0,48.5,15.89,17.49,0.918,1.0279,15.75,82.44,13.59
90000184,90000184,Devon Fontaine,RB,JAX,PIT,JAX@PIT 07/24/2026 04:25PM ET,6800,18.5,40.0,18.3,21.13,0.964,0.8268,15.71,50.33,1.9
90000007,90000007,Brandon Hargrove,WR,BUF,KC,KC@BUF 07/24/2026 01:00PM ET,7000,25.5,48.5,14.99,17.33,0.852,1.1397,15.69,73.16,10.13
90000055,90000055,Miles Pace,WR,MIA,SF,SF@MIA 07/24/2026 01:00PM ET,7000,19.0,44.0,17.93,17.71,1.034,0.8492,15.65,52.59,2.57
90000050,90000050,Omar Pruitt,QB,MIA,SF,SF@MIA 07/24/2026 01:00PM ET,6800,19.0,44.0,20.06,20.06,0.915,0.8492,15.59,50.44,1.17
90000206,90000206,Omar Denning,QB,LAC,DEN,LAC@DEN 07/24/2026 04:25PM ET,6900,22.0,42.5,16.5,15.69,0.982,0.9832,15.54,59.81,2.18
90000220,90000220,Levi Bishop,RB,NO,ATL,ATL@NO 07/24/2026 08:20PM ET,6900,20.25,46.0,16.7,13.25,1.121,0.905,15.19,53.33,2.32
