team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
SEA,pass,1.0,exclusive,37.5,29.14,0.7772,8.35
ARI,pass,1.0,exclusive,40.18,32.2,0.8014,7.98
LV,rush,0.973,recent,35.57,29.0,0.8154,6.57
WAS,pass,1.0,exclusive,43.17,35.84,0.8302,7.33
ARI,rush,1.0,recent,35.15,29.55,0.8408,5.6
ARI,recv,1.0,recent,37.54,31.59,0.8414,5.95
SF,pass,1.0,exclusive,40.33,34.07,0.8449,6.25
LV,pass,1.0,exclusive,36.96,31.43,0.8504,5.53
WAS,rush,1.0,recent,33.15,28.22,0.8511,4.94
LV,recv,1.0,recent,35.22,30.14,0.8557,5.08
DAL,pass,1.0,exclusive,42.01,36.21,0.862,5.8
DEN,pass,1.0,exclusive,37.29,32.18,0.8632,5.1
JAX,rush,0.9688,recent,33.01,28.65,0.8679,4.36
MIA,pass,1.0,exclusive,35.52,30.97,0.8719,4.55
SF,recv,0.9706,recent,37.05,32.57,0.8791,4.48
LAC,pass,1.0,exclusive,35.34,31.25,0.8843,4.09
MIA,recv,1.0,recent,33.05,29.7,0.8985,3.36
WAS,recv,1.0,recent,36.49,33.27,0.9118,3.22
SF,rush,1.0,recent,33.77,31.27,0.9259,2.5
LAC,rush,1.0,full_season,27.18,25.62,0.9427,1.56
SEA,recv,1.0,full_season,29.93,28.3,0.9455,1.63
LAC,recv,1.0,recent,32.19,30.44,0.9457,1.75
DEN,rush,1.0,full_season,22.82,24.06,1.0542,1.24
JAX,pass,1.0,exclusive,32.16,30.62,0.9518,1.55
DEN,recv,1.0,recent,32.41,30.96,0.9551,1.45
JAX,recv,0.9524,full_season,28.58,27.46,0.9608,1.12
DAL,recv,1.0,recent,35.23,34.1,0.9679,1.13
MIA,rush,1.0,full_season,24.48,23.71,0.9687,0.77
SEA,rush,1.0,full_season,25.69,26.44,1.0291,0.75
DAL,rush,1.0,full_season,23.92,24.39,1.0196,0.47
