team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
MIN,pass,1.0,exclusive,5.0,30.13,6.0255,25.13
SEA,pass,1.0,exclusive,17.76,30.54,1.7199,12.78
MIA,pass,1.0,exclusive,23.2,31.97,1.3778,8.77
CLE,pass,1.0,exclusive,24.01,31.46,1.3103,7.45
LV,pass,1.0,exclusive,26.54,32.76,1.2344,6.22
WAS,pass,1.0,exclusive,42.82,33.33,0.7784,9.49
ARI,pass,1.0,exclusive,28.45,34.46,1.2112,6.01
IND,pass,1.0,exclusive,27.62,32.88,1.1904,5.26
NYG,pass,1.0,exclusive,27.0,32.03,1.1864,5.03
NYJ,rush,0.9848,recent,32.89,26.89,0.8176,6.0
HOU,recv,1.0,recent,44.5,36.58,0.822,7.92
LAC,pass,1.0,exclusive,28.69,33.7,1.1746,5.01
TEN,pass,1.0,exclusive,25.92,30.38,1.1719,4.46
NYJ,pass,1.0,exclusive,30.01,35.0,1.1662,4.99
JAX,pass,1.0,exclusive,27.81,32.27,1.1604,4.46
LV,rush,0.9697,recent,32.0,26.9,0.8404,5.11
MIN,rush,1.0,recent,33.08,27.9,0.8435,5.18
WAS,rush,1.0,recent,31.87,27.06,0.8492,4.81
MIN,recv,1.0,recent,25.1,28.83,1.1486,3.73
SF,pass,1.0,exclusive,28.76,33.01,1.148,4.26
NE,pass,1.0,exclusive,28.16,32.31,1.1475,4.15
KC,rush,0.9851,recent,35.06,29.9,0.8528,5.16
BAL,pass,1.0,exclusive,30.3,34.67,1.1444,4.38
LAC,rush,1.0,recent,29.0,24.9,0.8586,4.1
SEA,rush,0.9839,recent,33.19,28.79,0.8674,4.4
LAC,recv,1.0,recent,28.73,32.53,1.1322,3.8
HOU,pass,1.0,exclusive,43.72,37.95,0.8679,5.77
CIN,recv,1.0,recent,37.36,32.58,0.872,4.78
MIA,rush,0.9787,recent,26.93,23.55,0.8744,3.38
JAX,recv,0.9796,recent,27.24,30.32,1.113,3.08
TEN,recv,1.0,recent,25.58,28.43,1.1116,2.85
NE,rush,1.0,recent,29.94,26.68,0.8914,3.25
BUF,rush,1.0,recent,31.88,28.46,0.8927,3.42
NO,recv,1.0,recent,39.79,35.53,0.8929,4.26
BUF,pass,1.0,exclusive,31.37,34.56,1.1017,3.19
MIA,recv,1.0,recent,28.11,30.96,1.1015,2.85
BUF,recv,1.0,recent,30.04,33.07,1.1009,3.03
PIT,recv,1.0,recent,37.83,34.11,0.9016,3.72
JAX,rush,0.9821,recent,29.11,26.25,0.9019,2.86
NE,recv,1.0,recent,28.32,30.96,1.0936,2.65
CAR,rush,1.0,recent,24.28,26.54,1.0928,2.25
BAL,rush,1.0,recent,30.3,27.61,0.9111,2.69
NYG,rush,1.0,recent,31.85,29.13,0.9146,2.72
NO,pass,1.0,exclusive,40.11,36.74,0.9159,3.37
SF,recv,0.9455,recent,27.9,30.23,1.0837,2.33
SEA,recv,1.0,recent,27.5,29.74,1.0816,2.24
DAL,pass,1.0,exclusive,33.16,35.79,1.0793,2.63
IND,rush,0.9808,recent,27.76,25.58,0.9212,2.19
ARI,rush,1.0,recent,26.81,24.71,0.9217,2.1
TB,recv,1.0,recent,34.59,32.01,0.9253,2.59
KC,recv,1.0,recent,36.95,34.51,0.934,2.44
CLE,recv,1.0,recent,28.78,30.63,1.0644,1.85
CIN,rush,1.0,recent,29.28,27.4,0.9359,1.88
TB,pass,1.0,exclusive,31.18,33.01,1.0585,1.82
DAL,recv,1.0,recent,32.55,34.43,1.0575,1.87
LV,recv,1.0,recent,33.73,31.85,0.9443,1.88
NO,rush,1.0,recent,28.66,27.13,0.9463,1.54
PIT,pass,1.0,exclusive,33.81,35.61,1.0533,1.8
WAS,recv,1.0,recent,33.57,31.9,0.9502,1.67
DET,recv,1.0,recent,37.54,35.77,0.9531,1.76
CLE,rush,1.0,recent,28.01,26.75,0.9549,1.26
BAL,recv,1.0,recent,31.88,33.25,1.0429,1.37
DAL,rush,1.0,recent,22.27,23.22,1.0427,0.95
DET,rush,1.0,recent,26.88,25.73,0.9574,1.15
KC,pass,1.0,exclusive,37.4,35.96,0.9615,1.44
PIT,rush,0.9773,recent,24.62,23.81,0.9673,0.81
SF,rush,1.0,recent,29.63,28.74,0.9699,0.89
DET,pass,1.0,exclusive,37.35,36.26,0.9707,1.09
IND,recv,1.0,recent,32.51,31.72,0.9756,0.79
NYJ,recv,1.0,recent,32.5,33.22,1.022,0.71
CIN,pass,1.0,exclusive,32.64,33.32,1.0211,0.69
CAR,pass,1.0,exclusive,35.09,34.4,0.9803,0.69
TEN,rush,1.0,recent,26.12,25.62,0.9809,0.5
TB,rush,1.0,recent,26.42,25.91,0.981,0.5
NYG,recv,1.0,recent,31.78,31.41,0.9881,0.38
CAR,recv,1.0,recent,32.95,32.64,0.9905,0.31
ARI,recv,1.0,recent,33.11,33.29,1.0054,0.18
HOU,rush,1.0,recent,27.62,27.49,0.995,0.14
